Defaults,Observations,Default_Prcnt,Avg_RiskPoints,fico_filter,ltv_filter,vintage_filter,year_filter,State
1137,59790,0.019016557952834922,60.07192848791273,"(300,850]","(0,105]",n/a,1999-2017,AK
13165,258144,0.050998667410437584,61.1469253960954,"(300,850]","(0,105]",n/a,1999-2017,AL
5084,139066,0.036558181007579134,59.856497420333206,"(300,850]","(0,105]",n/a,1999-2017,AR
42315,640833,0.06603124370935953,60.199540398089084,"(300,850]","(0,105]",n/a,1999-2017,AZ
90890,3105267,0.029269624801989653,57.35704033528001,"(300,850]","(0,105]",n/a,1999-2017,CA
14590,668974,0.021809517260760507,58.42661157288321,"(300,850]","(0,105]",n/a,1999-2017,CO
9454,263892,0.03582526184954451,58.694675206282014,"(300,850]","(0,105]",n/a,1999-2017,CT
1162,52294,0.022220522430871612,57.738402623022246,"(300,850]","(0,105]",n/a,1999-2017,DC
3110,88828,0.03501148286576305,59.74421822065479,"(300,850]","(0,105]",n/a,1999-2017,DE
115202,1343750,0.08573172093023256,61.166614187424294,"(300,850]","(0,105]",n/a,1999-2017,FL
45726,714830,0.06396765664563603,60.88404117053838,"(300,850]","(0,105]",n/a,1999-2017,GA
2368,84483,0.028029307671365838,57.70729307783952,"(300,850]","(0,105]",n/a,1999-2017,HI
7678,264603,0.029017055740108766,59.49512853839407,"(300,850]","(0,105]",n/a,1999-2017,IA
6575,155337,0.04232732703734461,60.01914757516645,"(300,850]","(0,105]",n/a,1999-2017,ID
54103,1304262,0.041481696162274144,59.503102247617946,"(300,850]","(0,105]",n/a,1999-2017,IL
25934,600821,0.043164270223577404,59.64414370584369,"(300,850]","(0,105]",n/a,1999-2017,IN
6946,233583,0.029736753102751486,59.435475883448596,"(300,850]","(0,105]",n/a,1999-2017,KS
11515,366572,0.031412655631090206,59.227058086408604,"(300,850]","(0,105]",n/a,1999-2017,KY
10781,194557,0.05541306660772936,61.05408180844727,"(300,850]","(0,105]",n/a,1999-2017,LA
18090,664125,0.027238848108413326,57.59271793043231,"(300,850]","(0,105]",n/a,1999-2017,MA
20766,568652,0.03651794067373367,59.57550733649674,"(300,850]","(0,105]",n/a,1999-2017,MD
3714,108560,0.03421149594694178,58.68648621517243,"(300,850]","(0,105]",n/a,1999-2017,ME
57901,947315,0.06112116877701715,60.300695085684985,"(300,850]","(0,105]",n/a,1999-2017,MI
24329,696860,0.0349123209826938,59.30111935139914,"(300,850]","(0,105]",n/a,1999-2017,MN
21262,587430,0.03619495088776535,59.623730729922066,"(300,850]","(0,105]",n/a,1999-2017,MO
5198,77892,0.0667334257690135,62.21352357832545,"(300,850]","(0,105]",n/a,1999-2017,MS
2278,92683,0.024578401648630278,58.72621404550199,"(300,850]","(0,105]",n/a,1999-2017,MT
30668,783785,0.0391280772150526,59.563706162519026,"(300,850]","(0,105]",n/a,1999-2017,NC
636,50739,0.012534736593153196,58.34560505239823,"(300,850]","(0,105]",n/a,1999-2017,ND
3333,146290,0.022783512201790965,59.44394997414264,"(300,850]","(0,105]",n/a,1999-2017,NE
5161,152234,0.03390175650643089,59.257274370192285,"(300,850]","(0,105]",n/a,1999-2017,NH
27887,655280,0.04255738005127579,59.53816850372771,"(300,850]","(0,105]",n/a,1999-2017,NJ
5764,132655,0.0434510572537786,60.91781947768745,"(300,850]","(0,105]",n/a,1999-2017,NM
20126,227430,0.08849316273138988,60.953658206814545,"(300,850]","(0,105]",n/a,1999-2017,NV
35417,853715,0.04148574172879708,59.39685268926274,"(300,850]","(0,105]",n/a,1999-2017,NY
47011,936088,0.05022070574561366,59.85212329987293,"(300,850]","(0,105]",n/a,1999-2017,OH
7499,190598,0.039344589135248006,60.87704154039315,"(300,850]","(0,105]",n/a,1999-2017,OK
14306,447376,0.031977575909302246,58.79473928878421,"(300,850]","(0,105]",n/a,1999-2017,OR
29742,812549,0.03660333099911513,59.91934833877015,"(300,850]","(0,105]",n/a,1999-2017,PA
4110,83340,0.049316054715622754,59.2174306215363,"(300,850]","(0,105]",n/a,1999-2017,RI
18330,346122,0.05295820548823825,60.56927536582451,"(300,850]","(0,105]",n/a,1999-2017,SC
1073,50116,0.021410328038949638,60.12086593846238,"(300,850]","(0,105]",n/a,1999-2017,SD
15843,383527,0.041308695346090364,59.92509960062883,"(300,850]","(0,105]",n/a,1999-2017,TN
39815,1330928,0.029915217051561017,60.620440725049896,"(300,850]","(0,105]",n/a,1999-2017,TX
10898,333173,0.032709733381756624,59.16367794876622,"(300,850]","(0,105]",n/a,1999-2017,UT
19620,754750,0.02599536270288175,58.711407145781244,"(300,850]","(0,105]",n/a,1999-2017,VA
1631,84338,0.01933885081457943,58.07882059061406,"(300,850]","(0,105]",n/a,1999-2017,VT
22087,712971,0.030978819615384075,58.9410213335171,"(300,850]","(0,105]",n/a,1999-2017,WA
17830,650956,0.027390484149466324,58.818572341056054,"(300,850]","(0,105]",n/a,1999-2017,WI
4046,79793,0.05070620229844723,60.953279194856734,"(300,850]","(0,105]",n/a,1999-2017,WV
993,42695,0.023257992739196626,60.208078027391785,"(300,850]","(0,105]",n/a,1999-2017,WY